run_id,model_id,case_count,complete_case_count,incomplete_case_count,wavlm_similarity_mean,wavlm_stability_min_mean,asr_cer_mean,utmosv2_mos_mean,clipping_ratio_max,rtf_mean,configured_score_mean
task2-20260716-qwen3-tts-r01,Qwen3-TTS-12Hz-1.7B-Base,3,3,0,0.9495873053868612,0.9503420193990072,0.044444444444444446,3.3951822916666665,0.0,2.2701806599832914,83.30322265625
task2-20260716-longcat-audiodit-r01,LongCat-AudioDiT-1B,3,3,0,0.9413765072822571,0.9406900207201639,0.044444444444444446,3.0963541666666665,0.0,1.5722322656814525,81.32001135084364
task2-20260716-dots-tts-base-r01,dots.tts-base,3,3,0,0.9530401031176249,0.9484115441640218,0.044444444444444446,2.8177083333333335,0.0,6.323905187074829,79.69401041666667
task2-20260716-voxcpm2-r01,VoxCPM2,3,3,0,0.946147640546163,0.9460966189702352,0.05959595959595959,3.0904947916666665,0.0,3.875343867418143,78.96904039864587
task2-20260716-indextts2-r01,IndexTTS2,3,3,0,0.9168674548467001,0.9157845775286356,0.044444444444444446,2.64453125,0.0,1.2781512424233539,77.3129301600986
task2-20260716-omnivoice-r01,OmniVoice,3,3,0,0.9205316503842672,0.9205316503842672,0.05959595959595959,2.9225260416666665,0.0,0.9521183120326878,76.39215146652377
task2-20260716-mimo-voiceclone-r01,mimo-v2.5-tts-voiceclone,3,3,0,0.9429065585136414,0.9429065585136414,0.09696969696969697,3.3841145833333335,0.0,3.620084776334775,75.3552616003788
task2-20260716-moss-tts-r01,MOSS-TTS-Local-Transformer-v1.5,3,3,0,0.9327224294344584,0.9327224294344584,0.08181818181818183,2.7623697916666665,0.0,3.592311589882454,73.74208392518939
